objid,ra,dec,u,g,u-g,r,i,z,r-i,i-z
1.24E+18,229.7484204,1.996958707,24.6791,22.78555,1.893545,21.59652,21.28696,21.15442,0.30956,0.13254
1.24E+18,229.7478353,1.998888782,25.48863,23.98831,1.50032,22.93465,21.99596,22.71021,0.93869,-0.71425
1.24E+18,229.7509699,1.997018947,23.16807,23.391,-0.222929,23.13735,24.46492,22.43936,-1.32757,2.02556
1.24E+18,229.7505743,2.003460196,20.77672,19.95266,0.8240528,19.44524,19.35682,19.25813,0.08842,0.09869
1.24E+18,229.7565979,2.143316608,19.30484,18.33608,0.9687576,18.02217,17.93063,17.91182,0.09154,0.01881
1.24E+18,229.7563873,2.144244309,20.34141,19.31181,1.0296,19.00896,18.95464,18.8725,0.05432,0.08214
1.24E+18,229.7575618,2.141972433,23.6823,21.47448,2.207825,20.88182,20.70399,20.65745,0.17783,0.04654
1.24E+18,229.7547812,2.144477998,25.79084,22.47646,3.314377,21.63488,21.24792,20.50609,0.38696,0.74183
1.24E+18,229.7533591,2.001378431,19.89696,19.81733,0.0796299,18.58521,18.5122,18.53426,0.07301,-0.02206
1.24E+18,229.754997,2.002374416,20.88721,19.76758,1.119625,19.33426,19.23745,19.2298,0.09681,0.00765
